SGD, 394.56, 2020 
KRW, 48.11, 2020 
BRL, 100.42, 2020 
MXN, 26.33, 2020 
SAR, 139.28, 2020 
SYP, 1.02, 2020 
AED, 142.28, 2020 
KWD, 1723.30, 2020 
BGN, 328.14, 2020 
RON, 131.31, 2020 
ISK, 41.13, 2020 
KGS, 6.20, 2020 
KZT, 12.40, 2020 
MDL, 30.38, 2020 
RUB, 7.02, 2020 
UAH, 18.50, 2020 
UZS, 0.50, 2020 
BYN, 201.70, 2020 
TJS, 46.25, 2020 
TMT, 149.31, 2020 
GEL, 159.36, 2020 
HKD, 67.41, 2020 
USD, 524.34, 2021 
GBP, 730.09, 2021 
AUD, 407.88, 2021 
ARS, 5.90, 2021 
DKK, 85.12, 2021 
EGP, 33.53, 2021 
EUR, 632.93, 2021 
XDR, 754.14, 2021 
TRY, 75.50, 2021 
IRR, 1.25, 2021 
ILS, 160.57, 2021 
PLN, 140.87, 2021 
LBP, 34.66, 2021 
CAD, 413.35, 2021 
INR, 7.21, 2021 
HUF, 17.63, 2021 
JPY, 49.60, 2021 
NOK, 61.78, 2021 
SEK, 63.07, 2021 
CHF, 584.68, 2021 
CZK, 24.47, 2021 
CNY, 81.25, 2021 
SGD, 394.88, 2021 
KRW, 47.34, 2021 
BRL, 96.89, 2021 
MXN, 26.02, 2021 
SAR, 139.80, 2021 
SYP, 1.02, 2021 
AED, 142.76, 2021 
KWD, 1733.93, 2021 
BGN, 323.43, 2021 
RON, 129.78, 2021 
ISK, 40.60, 2021 
KGS, 6.26, 2021 
KZT, 12.60, 2021 
MDL, 29.93, 2021 
RUB, 7.12, 2021 
UAH, 18.82, 2021 
UZS, 0.50, 2021 
BYN, 202.39, 2021 
TJS, 46.43, 2021 
TMT, 149.81, 2021 
GEL, 158.65, 2021 
HKD, 67.63, 2021 
